player_total,dealer_card,action,q_value
15,7,0,-0.7292770341561706
15,7,1,-0.6744040897230603
6,4,0,-0.358013083519
6,4,1,-0.1238339034842575
7,4,0,-0.288559
7,4,1,-0.1382307411763956
19,1,0,0.0244712112681027
19,1,1,-0.6266287640628161
19,7,0,0.18923218550294063
19,7,1,-0.18596364297150358
15,5,0,-0.5896772403126878
15,5,1,-0.40057880651765676
6,5,0,-0.31454914611263063
6,5,1,-0.10731488859625578
10,3,0,-0.6337647776998699
10,3,1,0.2170809283444742
6,3,0,-0.2576362919300975
6,3,1,-0.12692273501045864
4,1,0,-0.55496940391
4,1,1,-0.4339391221425122
5,2,0,-0.33635602958761
5,2,1,-0.16895166830379188
7,8,0,-0.326976085889084
7,8,1,-0.25602608931876797
9,3,0,-0.003315194851810657
9,3,1,0.14962827244891314
8,9,0,-0.528081476683001
8,9,1,-0.11010735850728973
4,6,0,-0.16684939428730228
4,6,1,-0.036078527533840464
4,5,0,-0.1763487379
4,5,1,-0.09395658423852228
6,9,0,-0.4781780821
6,9,1,-0.28583899117013456
4,3,0,-0.23156278792910004
4,3,1,-0.08881531721541008
4,4,0,-0.440251227024571
4,4,1,-0.1540207986987046
5,9,0,-0.3936621799
5,9,1,-0.24788323428051842
5,7,0,-0.27387341
5,7,1,-0.08168808836223654
5,3,0,-0.22569865598849892
5,3,1,-0.03981008052004527
5,6,0,0.24183904964544128
5,6,1,-0.13219927468699333
5,8,0,-0.34227228890869393
5,8,1,-0.2572466502599338
4,7,0,-0.271
4,7,1,-0.1106445321882194
4,9,0,-0.271
4,9,1,-0.20045562628799712
5,4,0,-0.28205054186581
5,4,1,-0.17105137448373287
4,2,0,-0.271
4,2,1,-0.10750409895446313
4,8,0,-0.20838806899999998
4,8,1,-0.11248559025627423
